Code,DisplayName,CodeSystem
784341001,Amyotrophic lateral sclerosis type 4,SNOMED
1204334005,Amyotrophic lateral sclerosis type 6,SNOMED
1204349002,Amyotrophic lateral sclerosis type 7,SNOMED
1204350002,Amyotrophic lateral sclerosis type 8,SNOMED
1204351003,Amyotrophic lateral sclerosis type 9,SNOMED
838276009,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex",SNOMED
1259123006,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex of Kii Peninsula",SNOMED
1259121008,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex of West New Guinea",SNOMED
691421000119108,Anaemia co-occurrent and due to chronic kidney disease stage 3,SNOMED
707324008,Anaemia in end stage renal disease,SNOMED
49708008,Anaemia of chronic renal failure,SNOMED
111362001,Anal furunculosis,SNOMED
59400006,Analgesic nephropathy,SNOMED
1801000119106,"Anemia, pre-end stage renal disease on erythropoietin protocol",SNOMED
720986005,"Anhidrotic ectodermal dysplasia, immunodeficiency, osteopetrosis, lymphoedema syndrome",SNOMED
403566002,Anogenital lichen sclerosus,SNOMED
10692761000119107,Asthma-chronic obstructive pulmonary disease overlap syndrome,SNOMED
1204191007,Asymptomatic chronic arterial occlusive disease,SNOMED
43814000,Atelosteogenesis,SNOMED
725141006,Atelosteogenesis type 1,SNOMED
254055004,Atelosteogenesis type 2,SNOMED
725142004,Atelosteogenesis type 3,SNOMED
789657008,ATPase cation transporting 13A2 related juvenile neuronal ceroid lipofuscinosis,SNOMED
266356006,Atrophic (senile) emphysema,SNOMED
42740008,Atrophic fundic gland gastritis,SNOMED
84568007,Atrophic gastritis,SNOMED
1351677008,Atrophic Hashimoto thyroiditis,SNOMED
15445004,Atrophic nonerosive nonspecific gastritis,SNOMED
63866002,Atrophic pharyngitis,SNOMED
28111002,Atrophic rhinitis,SNOMED
3308008,Atrophic-hyperplastic gastritis,SNOMED
725146001,Atypical juvenile parkinsonism,SNOMED
722964001,Atypical Parkinsonism,SNOMED
1156790008,Atypical progressive supranuclear palsy syndrome,SNOMED
1197704005,Autoantibody negative autoimmune hepatitis,SNOMED
718716008,Autoimmune haemolytic anaemia mixed type,SNOMED
829973009,Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis,SNOMED
1365687001,Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis due to HOIP deficiency,SNOMED
1259083006,Autonomic disorder due to multiple sclerosis,SNOMED
784391002,Autosomal dominant adult-onset proximal spinal muscular atrophy,SNOMED
1197523001,Autosomal dominant amyotrophic lateral sclerosis type 1,SNOMED
1172684002,Autosomal dominant Charcot-Marie-Tooth disease type 2 due to DGAT2 mutation,SNOMED
782829002,Autosomal dominant Charcot-Marie-Tooth disease type 2O,SNOMED
773393001,Autosomal dominant Charcot-Marie-Tooth disease type 2Q,SNOMED
1259038005,Autosomal dominant complex hereditary spastic paraplegia,SNOMED
763067000,Autosomal dominant congenital benign spinal muscular atrophy,SNOMED
1010712009,Autosomal dominant Emery-Dreifuss muscular dystrophy,SNOMED
444977005,Autosomal dominant focal segmental glomerulosclerosis,SNOMED
737227004,Autosomal dominant hereditary spastic paraplegia,SNOMED
716662004,Autosomal dominant late onset Parkinson disease,SNOMED
