Code,DisplayName,CodeSystem
121737004,Adipoylcarnitine measurement,SNOMED
234866004,Adjust lingual arch,SNOMED
234829005,Adjust maxillary obturator,SNOMED
234870007,Adjust removable orthodontic appliance,SNOMED
234732003,Adjust tooth restoration,SNOMED
238315007,Adjustment of chronic ambulatory peritoneal dialysis catheter,SNOMED
427442004,Adjustment of dental crown to tooth,SNOMED
735927006,Adjustment of external breast prosthesis,SNOMED
302333009,Adjustment of neurostimulator electrode adjacent to spinal cord tissue,SNOMED
719078002,Adjustment of physical environment,SNOMED
709419002,Adjustment of vertical expanding prosthetic titanium rib,SNOMED
239617001,Adjustment to alignment of external fixator,SNOMED
173706007,Adjustment to Angelchik prosthesis,SNOMED
231020006,Adjustment to epidural electrode,SNOMED
239618006,Adjustment to length of external fixator,SNOMED
230962006,Adjustment to neurostimulator in cranial nerve,SNOMED
234648006,Adjustment to vermilion border of lip,SNOMED
1208464009,Administration of bebtelovimab,SNOMED
170437009,Administration of booster dose of Hepatitis A and B vaccine,SNOMED
394691002,Administration of booster dose of Hepatitis A and typhoid vaccine,SNOMED
170381002,Administration of booster dose of Hepatitis A vaccine,SNOMED
1351282008,Administration of booster dose of paediatric vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens,SNOMED
170421003,Administration of booster dose of poliomyelitis and tetanus vaccine,SNOMED
117081005,"Administration of Botulism immune globulin, human",SNOMED
711613003,Administration of cytotoxic agent via oral route,SNOMED
51570005,Administration of diphtheria antitoxin,SNOMED
432977006,Administration of drug or medicament via intraarterial route,SNOMED
433205004,Administration of drug or medicament via intrapleural route,SNOMED
817965009,Administration of ergometrine and oxytocin,SNOMED
866158005,"Administration of first dose of diphtheria, pertussis, and tetanus vaccine",SNOMED
868267006,"Administration of first dose of diphtheria, poliomyelitis, and tetanus vaccine",SNOMED
395178008,Administration of first dose of low dose diphtheria and tetanus vaccine,SNOMED
1144997007,Administration of first dose of SARS-CoV-2 mRNA vaccine,SNOMED
698511005,Administration of hormone via oral route,SNOMED
870534008,Administration of human anti-D immunoglobulin,SNOMED
48556009,Administration of immune serum,SNOMED
698802001,Administration of immunoglobulin by intravenous route,SNOMED
449126000,Administration of inhalation anaesthetic using endotracheal tube,SNOMED
880063008,Administration of intranasal sedation,SNOMED
572511000119105,Administration of live attenuated measles and mumps and rubella and varicella-zoster vaccine,SNOMED
572481000119103,Administration of live attenuated measles vaccine,SNOMED
871728006,Administration of live attenuated Salmonella enterica subspecies enterica serovar Typhi antigen only vaccine product via oral route,SNOMED
51251000112106,Administration of low dose ketamine,SNOMED
792896000,Administration of measles and rubella vaccine,SNOMED
386355002,Administration of medicine or medicament via intradermal route,SNOMED
445141005,Administration of medicine using nebuliser mask,SNOMED
868251000,Administration of multimodal anaesthesia,SNOMED
1344704001,Administration of pneumococcal 20-valent vaccine,SNOMED
1119367000,Administration of pneumococcal 23-valent vaccine,SNOMED
1119368005,Administration of pneumococcal 7-valent conjugate vaccine,SNOMED
1371343005,Administration of prophylactic drug or medicament for myocardial infarction,SNOMED
1371346002,Administration of prophylactic drug or medicament for seizure,SNOMED
439728005,Administration of radiopharmaceutical agent via intraarterial route,SNOMED
439792001,Administration of radiopharmaceutical agent via intraarticular route,SNOMED
1119350007,Administration of SARS-CoV-2 mRNA vaccine,SNOMED
1157107003,Administration of SARS-CoV-2 non-replicating viral vector vaccine,SNOMED
1162645008,Administration of SARS-CoV-2 recombinant spike protein antigen vaccine,SNOMED
712833000,Administration of second dose of Haemophilus influenzae type b and meningitis C vaccine,SNOMED
170435001,Administration of second dose of hepatitis A and B vaccine,SNOMED
429396009,Administration of second dose of human papilloma virus vaccine,SNOMED
395179000,Administration of second dose of low dose diphtheria and tetanus vaccine,SNOMED
170419008,Administration of second dose of poliomyelitis and tetanus vaccine,SNOMED
170354002,Administration of second dose of poliomyelitis vaccine,SNOMED
1162646009,Administration of second dose of SARS-CoV-2 recombinant spike protein antigen vaccine,SNOMED
428502009,Administration of second dose of Varicella-zoster vaccine for chickenpox,SNOMED
1157108008,Administration of second dose SARS-CoV-2 non-replicating viral vector vaccine,SNOMED
1255539004,Administration of strontium ranelate,SNOMED
431952007,Administration of substance via buccal route,SNOMED
432021006,Administration of substance via intracavernous route,SNOMED
415712004,Administration of third dose of diphtheria and Haemophilus influenza type b and five component acellular pertussis and inactivated poliomyelitis and tetanus vaccine,SNOMED
868268001,"Administration of third dose of diphtheria, poliomyelitis, and tetanus vaccine",SNOMED
428931000,Administration of third dose of human papilloma virus vaccine,SNOMED
395180002,Administration of third dose of low dose diphtheria and tetanus vaccine,SNOMED
170420002,Administration of third dose of poliomyelitis and tetanus vaccine,SNOMED
170355001,Administration of third dose of poliomyelitis vaccine,SNOMED
37750001,Administration of tranquilliser,SNOMED
1389147007,Administration of vaccine product containing only Human alphaherpesvirus 3 recombinant surface glycoprotein E antigen for shingles,SNOMED
1336107000,Administration of vaccine product containing only modified Vaccinia virus Ankara antigen,SNOMED
40001004,Administration of vaccine product containing only Vaccinia virus antigen,SNOMED
305241003,Admission by adult intensive care specialist,SNOMED
305254005,Admission by blood transfusion doctor,SNOMED
305255006,Admission by chemical pathologist,SNOMED
305268003,Admission by clinical neurophysiologist,SNOMED
305307008,Admission by colorectal surgeon,SNOMED
305250001,Admission by gynaecologist,SNOMED
305309006,Admission by hand surgeon,SNOMED
305240002,Admission by intensive care specialist,SNOMED
305279008,Admission by nephrologist,SNOMED
305251002,Admission by obstetrician,SNOMED
305249001,Admission by obstetrician and gynaecologist,SNOMED
305253004,Admission by pathologist,SNOMED
305317003,Admission by plastic surgeon,SNOMED
305265000,Admission by thoracic physician,SNOMED
305306004,Admission by upper gastrointestinal surgeon,SNOMED
177079006,Admission review,SNOMED
772011000,Admission to acute internal medicine department,SNOMED
305409007,Admission to breast surgery department,SNOMED
183446009,Admission to cardiac intensive care unit,SNOMED
305412005,Admission to cardiac surgery department,SNOMED
305355008,Admission to clinical allergy department,SNOMED
305371008,Admission to clinical cytogenetics department,SNOMED
305370009,Admission to clinical genetics department,SNOMED
305372001,Admission to clinical molecular genetics department,SNOMED
305422004,Admission to colorectal surgery department,SNOMED
709063003,Admission to day surgery,SNOMED
305366001,Admission to endocrinology department,SNOMED
305367005,Admission to gastroenterology department,SNOMED
305368000,Admission to general medical department,SNOMED
305369008,Admission to genetics department,SNOMED
305424003,Admission to hepatobiliary surgical department,SNOMED
398162007,Admission to high dependency unit,SNOMED
305340004,Admission to long stay hospital,SNOMED
305397002,Admission to medical microbiology department,SNOMED
830077005,Admission to neonatal intensive care unit,SNOMED
305378002,Admission to nephrology department,SNOMED
305407009,Admission to occupational health department,SNOMED
771550009,Admission to paediatric cardiology department,SNOMED
305353001,Admission to paediatric intensive care unit,SNOMED
305382000,Admission to rehabilitation department,SNOMED
305405001,Admission to rehabilitation psychiatry department,SNOMED
305341000,Admission to tertiary referral hospital,SNOMED
305411003,Admission to thoracic surgery department,SNOMED
408999009,Adolescent care education,SNOMED
275682000,Adoption - adult applicant examination,SNOMED
171382000,Adoption medical examination,SNOMED
104654009,Adrenaline challenge tests,SNOMED
388467005,Adrenocorticotrophic hormone specific IgE antibody measurement,SNOMED
171303007,Adult 20 year screening,SNOMED
171304001,Adult 25 year screening,SNOMED
171305000,Adult 30 year screening,SNOMED
185661004,Adult abnormal - third recall,SNOMED
370879005,Adult day centre education,SNOMED
370880008,Adult day centre management,SNOMED
405282002,Adult hearing test,SNOMED
423184003,Adult pain assessment,SNOMED
185655002,Adult screening - first recall,SNOMED
185656001,Adult screening - second recall,SNOMED
185657005,Adult screening - third recall,SNOMED
185685007,Adult vaccination - first call,SNOMED
185689001,Adult vaccination - first recall,SNOMED
308434008,Adult vaccination call,SNOMED
713603004,Advance care planning,SNOMED
431267001,Advanced cardiac life support,SNOMED
933651441000036107,Advanced care directive planning,SNOMED
373352000,Advancement of eyelid muscle,SNOMED
264581005,Advancement of vagina,SNOMED
396081009,Adverse drug reaction prevention management,SNOMED
710952002,Advocating for breastfeeding,SNOMED
169394006,Afterload radiotherapy of oropharyngeal cavity,SNOMED
88629000,Agar dilution MIC susceptibility test for anaerobes,SNOMED
359818001,Agglutination procedure,SNOMED
697979005,Airway care management,SNOMED
397874007,Airway exchange catheter procedure,SNOMED
243143008,Airway pressure release ventilation,SNOMED
172785002,Alar base excision,SNOMED
14314009,Albee operation for hip fusion,SNOMED
104484007,Albumin renal clearance measurement,SNOMED
737363002,Alcohol abuse surveillance,SNOMED
307189004,Alcohol injection of liver metastases,SNOMED
24165007,Alcoholism counselling,SNOMED
79676006,Aldolase measurement,SNOMED
6943008,"Aldosterone measurement, normal salt diet, urine",SNOMED
5021008,"Aldosterone measurement, standing, normal salt diet",SNOMED
252173000,Aldosterone suppression test,SNOMED
876850004,Alexander technique,SNOMED
1761411000168109,Alfuy virus antibody measurement,SNOMED
1761401000168106,Alfuy virus nucleic acid assay,SNOMED
392463000,Alkalase specific IgE antibody measurement,SNOMED
271052004,Alkaline phosphatase - bone isoenzyme measurement,SNOMED
277449007,Alkalinisation regime,SNOMED
46287003,"Alkaloids measurement, urine screening",SNOMED
840707001,Allen test for arterial competency,SNOMED
120641002,Allergen identification,SNOMED
385801001,Allergic reaction control education,SNOMED
385802008,Allergic reaction control management,SNOMED
58332002,Allergy education,SNOMED
252513000,Allergy test - not skin,SNOMED
425843001,Allogeneic peripheral blood stem cell transplant,SNOMED
234332000,Allogeneic T-cell depleted allogeneic bone marrow transplant,SNOMED
121437003,Allopurinol measurement,SNOMED
447981001,Allotransplant of islets of Langerhans,SNOMED
765478004,Allotransplant of left kidney,SNOMED
225978002,Allowing time to listen to worries,SNOMED
121438008,Allyl alcohol measurement,SNOMED
87491002,"Alpha-1 antitrypsin clearance, faeces and serum",SNOMED
103827003,Alpha-2 antiplasmin antigen assay,SNOMED
104498004,alpha-Amino acid nitrogen measurement,SNOMED
104499007,alpha-Amino-n-butyrate measurement,SNOMED
392464006,Alpha-amylase specific IgE antibody measurement,SNOMED
268468007,Alpha-fetoprotein blood test,SNOMED
169188005,Alpha-fetoprotein radioimmunoassay,SNOMED
1680311000168103,Alpha-gal IgE antibody measurement,SNOMED
38614003,"Alpha-galactosidase measurement, leukocytes",SNOMED
105056004,Alprenolol measurement,SNOMED
104482006,"ALT measurement, method without pyridoxal-5'-phosphate",SNOMED
734489005,Altered auditory feedback,SNOMED
399848008,Alternaria alternata specific IgG antibody measurement,SNOMED
72600003,Alternative communication technique education,SNOMED
82599007,"Amalgam restoration, four or more surfaces, permanent",SNOMED
91438000,"Amalgam restoration, one surface, primary",SNOMED
1156669008,Ambrisentan therapy,SNOMED
185406000,Ambulance request for patient,SNOMED
105058003,Amdinocillin measurement,SNOMED
741679001,American Heart Association advanced cardiac life support protocol,SNOMED
105059006,Amiloride measurement,SNOMED
5586008,Aminolevulinic acid dehydratase measurement,SNOMED
252268000,Ammonium chloride acidification test,SNOMED
427230007,Amniocentesis for possible chromosomal abnormality,SNOMED
446135006,Amnioinfusion using ultrasound guidance,SNOMED
359881002,Amniotic fluid analysis for erythroblastosis fetalis,SNOMED
168094007,Amniotic fluid microscopy,SNOMED
168103007,Amniotic fluid palmitic acid measurement,SNOMED
122276001,Amoeba identification,SNOMED
1338032009,Amoxicillin and clavulanic acid therapy,SNOMED
1335909009,Amoxicillin therapy,SNOMED
1303132008,Amplitude integrated electroencephalography,SNOMED
386510005,Amputation care,SNOMED
278743005,Amputation incision,SNOMED
1335705009,Amputation of bilateral index fingers,SNOMED
1335719009,Amputation of bilateral little fingers,SNOMED
723840008,Amputation of bilateral lower limbs above knee,SNOMED
239582009,Amputation of finger through carpometacarpal joint,SNOMED
239583004,Amputation of finger through metacarpal,SNOMED
180015002,"Amputation of hand, thumb or finger",SNOMED
787159000,Amputation of left midfoot,SNOMED
895525009,Amputation of part of left hand,SNOMED
895524008,Amputation of part of right hand,SNOMED
773819005,Amputation of right forefoot,SNOMED
1335718001,Amputation of right little finger,SNOMED
721059004,Amputation of right lower limb above knee,SNOMED
787161009,Amputation of right midfoot,SNOMED
180157006,Amputation of supernumerary toe,SNOMED
